tasksync-nginx-prod  | 2026/07/22 09:38:12 [warn] 21#21: *1786 upstream sent duplicate header line: "date: Wed, 22 Jul 2026 09:38:10 GMT", previous value: "Date: Wed, 22 Jul 2026 09:38:11 GMT", ignored while reading response header from upstream, client: 172.20.0.1, server: _, request: "GET /ws/notifications?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiI3NSIsImVtYWlsIjoiYWRtaW5AdGFza3N5bmMuZXhhbXBsZS5jb20iLCJyb2xlIjoxLCJleHAiOjE3ODQ3MTY2OTEsImp0aSI6ImUzZDZiYmQ3LWRkOWItNGMyNi1hYzE0LWM3N2Q1Y2UxYTcyNCJ9.Bk8KTOSkyhLw6n5YWuR5FsrJgQjvUl33izWRUdaut3I HTTP/1.1", upstream: "http://172.20.0.3:8000/ws/notifications?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiI3NSIsImVtYWlsIjoiYWRtaW5AdGFza3N5bmMuZXhhbXBsZS5jb20iLCJyb2xlIjoxLCJleHAiOjE3ODQ3MTY2OTEsImp0aSI6ImUzZDZiYmQ3LWRkOWItNGMyNi1hYzE0LWM3N2Q1Y2UxYTcyNCJ9.Bk8KTOSkyhLw6n5YWuR5FsrJgQjvUl33izWRUdaut3I", host: "127.0.0.1"
tasksync-nginx-prod  | 2026/07/22 09:38:12 [warn] 20#20: *1801 upstream sent duplicate header line: "date: Wed, 22 Jul 2026 09:38:12 GMT", previous value: "Date: Wed, 22 Jul 2026 09:38:12 GMT", ignored while reading response header from upstream, client: 172.20.0.1, server: _, request: "GET /ws/notifications?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiIxMTEiLCJlbWFpbCI6ImVtcGxveWVlMDI4QHRhc2tzeW5jLmV4YW1wbGUuY29tIiwicm9sZSI6MywiZXhwIjoxNzg0NzE2MTcyLCJqdGkiOiJhOTJlYmQ2MC05ZWJmLTRhZGQtYjc5Yy00MzFhYzVmMzdhZDMifQ.3f55W7AkozwB8aQ7ZcJlu1Z1Xze6OEqg4Fr91LmjvAg HTTP/1.1", upstream: "http://172.20.0.3:8000/ws/notifications?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiIxMTEiLCJlbWFpbCI6ImVtcGxveWVlMDI4QHRhc2tzeW5jLmV4YW1wbGUuY29tIiwicm9sZSI6MywiZXhwIjoxNzg0NzE2MTcyLCJqdGkiOiJhOTJlYmQ2MC05ZWJmLTRhZGQtYjc5Yy00MzFhYzVmMzdhZDMifQ.3f55W7AkozwB8aQ7ZcJlu1Z1Xze6OEqg4Fr91LmjvAg", host: "localhost"
tasksync-nginx-prod  | 172.20.0.1 - - [22/Jul/2026:09:38:12 +0000] "GET /api/v1/dashboard/analytics HTTP/1.1" 200 687 "http://127.0.0.1/dashboard" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/150.0.0.0 Safari/537.36" "-" rt=0.941 uct="0.000" uht="0.927" urt="0.940"
tasksync-nginx-prod  | 172.20.0.1 - - [22/Jul/2026:09:38:12 +0000] "GET /api/v1/projects HTTP/1.1" 200 978 "http://127.0.0.1/dashboard" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/150.0.0.0 Safari/537.36" "-" rt=1.021 uct="0.000" uht="1.019" urt="1.021"
tasksync-nginx-prod  | 172.20.0.1 - - [22/Jul/2026:09:38:12 +0000] "GET /api/v1/tasks HTTP/1.1" 200 1115 "http://127.0.0.1/dashboard" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/150.0.0.0 Safari/537.36" "-" rt=1.067 uct="0.001" uht="1.065" urt="1.067"
tasksync-nginx-prod  | 172.20.0.1 - - [22/Jul/2026:09:38:12 +0000] "GET /api/v1/projects HTTP/1.1" 200 978 "http://localhost/tasks" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36" "-" rt=0.839 uct="0.001" uht="0.837" urt="0.839"
tasksync-nginx-prod  | 172.20.0.1 - - [22/Jul/2026:09:38:13 +0000] "GET /api/v1/departments HTTP/1.1" 200 568 "http://127.0.0.1/dashboard" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/150.0.0.0 Safari/537.36" "-" rt=1.167 uct="0.000" uht="1.166" urt="1.168"
tasksync-nginx-prod  | 172.20.0.1 - - [22/Jul/2026:09:38:13 +0000] "GET /api/v1/employees HTTP/1.1" 403 290 "http://localhost/tasks" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36" "-" rt=0.948 uct="0.000" uht="0.946" urt="0.948"
tasksync-nginx-prod  | 172.20.0.1 - - [22/Jul/2026:09:38:13 +0000] "GET /api/v1/notifications HTTP/1.1" 200 757 "http://127.0.0.1/dashboard" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/150.0.0.0 Safari/537.36" "-" rt=1.265 uct="0.001" uht="1.264" urt="1.265"
tasksync-nginx-prod  | 172.20.0.1 - - [22/Jul/2026:09:38:13 +0000] "GET /api/v1/notifications HTTP/1.1" 200 757 "http://localhost/notifications" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0" "-" rt=1.235 uct="0.001" uht="1.235" urt="1.235"
tasksync-nginx-prod  | 172.20.0.1 - - [22/Jul/2026:09:38:13 +0000] "GET /api/v1/tasks/my-tasks HTTP/1.1" 200 494 "http://localhost/tasks" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36" "-" rt=1.058 uct="0.000" uht="1.056" urt="1.058"
